layer,research_code,parent_research_code,name_ar,name_fr,latitude,longitude,source_locator,existing_entity_id
imada,43511575,4351,الهيشرية,El Hichria,34.896007,9.411156,ADM4 row / research sector code 43511575; dated ADM3 parent 4351,
imada,43511574,4351,سيدي سالم,Sidi Salem,35.097257,9.468954,ADM4 row / research sector code 43511574; dated ADM3 parent 4351,
imada,43611667,4361,قبرار,Gobrar,34.941371,9.823146,ADM4 row / research sector code 43611667; dated ADM3 parent 4361,
imada,43581640,4358,المبروكة,El Mabrouka,34.673174,9.554983,ADM4 row / research sector code 43581640; dated ADM3 parent 4358,
imada,43581639,4358,الزوارع,Ezzouarâa,34.730406,9.69482,ADM4 row / research sector code 43581639; dated ADM3 parent 4358,
imada,43581638,4358,المكناسي الشمالية,Meknassy Nord,34.626755,9.604373,ADM4 row / research sector code 43581638; dated ADM3 parent 4358,
imada,43621683,4362,الذويبات الشمالية,Dheouibet Nord,35.166968,9.940613,ADM4 row / research sector code 43621683; dated ADM3 parent 4362,
imada,43581637,4358,المكناسي الغربية,Meknassy Ouest,34.546525,9.617663,ADM4 row / research sector code 43581637; dated ADM3 parent 4358,
imada,43621682,4362,سيدي اللافي,Sidi Ellafi,35.162653,9.745489,ADM4 row / research sector code 43621682; dated ADM3 parent 4362,
imada,43581636,4358,المكناسي الشرقية,Meknassy Est,34.597628,9.662126,ADM4 row / research sector code 43581636; dated ADM3 parent 4358,
imada,43521582,4352,الاحواز,El Ahouaz,34.992552,9.494119,ADM4 row / research sector code 43521582; dated ADM3 parent 4352,
imada,43611673,4361,فرش غريب,Ferch Gharib,34.808161,9.924559,ADM4 row / research sector code 43611673; dated ADM3 parent 4361,
imada,43611671,4361,السعيدة الجنوبية,Essaïda Sud,34.96555,9.859179,ADM4 row / research sector code 43611671; dated ADM3 parent 4361,
imada,43611669,4361,السكبة,Essekba,34.778775,9.842306,ADM4 row / research sector code 43611669; dated ADM3 parent 4361,
imada,43611668,4361,ريحانة,Rihana,34.825879,9.687958,ADM4 row / research sector code 43611668; dated ADM3 parent 4361,
imada,43511581,4351,النصر,Ennasr,35.148239,9.386565,ADM4 row / research sector code 43511581; dated ADM3 parent 4351,
imada,43611659,4361,الخشم الغربية,Khechem Ouest,35.0321,9.944629,ADM4 row / research sector code 43611659; dated ADM3 parent 4361,
imada,43541609,4354,العيون,El Ayoun,35.313727,9.204174,ADM4 row / research sector code 43541609; dated ADM3 parent 4354,
imada,43611658,4361,الرقاب,Regueb,34.858668,9.786596,ADM4 row / research sector code 43611658; dated ADM3 parent 4361,
imada,43601651,4360,بوهدمة,Bou Hedma,34.44366,9.557254,ADM4 row / research sector code 43601651; dated ADM3 parent 4360,
imada,43601650,4360,الفوني,El Founi,34.500954,9.969691,ADM4 row / research sector code 43601650; dated ADM3 parent 4360,
imada,43611670,4361,الخشم الشرقية,Khechem Est,35.000041,10.012157,ADM4 row / research sector code 43611670; dated ADM3 parent 4361,
imada,43511573,4351,النور,Ennour,35.042474,9.484208,ADM4 row / research sector code 43511573; dated ADM3 parent 4351,
imada,43571632,4357,العمران,El Omrane,34.53664,9.397316,ADM4 row / research sector code 43571632; dated ADM3 parent 4357,
imada,43511572,4351,سيدي بوزيد,Sidi Bouzid,35.036173,9.49474,ADM4 row / research sector code 43511572; dated ADM3 parent 4351,
imada,43571631,4357,العمرية,El Omria,34.614086,9.31454,ADM4 row / research sector code 43571631; dated ADM3 parent 4357,
imada,43571630,4357,الخروبة,El Kharrouba,34.674017,9.43139,ADM4 row / research sector code 43571630; dated ADM3 parent 4357,
imada,43571629,4357,الخرشف,El Khorchef,34.723049,9.490788,ADM4 row / research sector code 43571629; dated ADM3 parent 4357,
imada,43571628,4357,قلال,Kallel,34.69489,9.34676,ADM4 row / research sector code 43571628; dated ADM3 parent 4357,
imada,43571627,4357,النوامر,En-Nouamer,34.606038,9.433089,ADM4 row / research sector code 43571627; dated ADM3 parent 4357,
imada,43571626,4357,منزل بوزيان,Menzel Bouzaïane,34.571306,9.42361,ADM4 row / research sector code 43571626; dated ADM3 parent 4357,
imada,43531604,4353,الابيض,El Abaiedh,35.439932,9.461477,ADM4 row / research sector code 43531604; dated ADM3 parent 4353,
imada,43531603,4353,الحميمة,El Hamima,35.20356,9.429041,ADM4 row / research sector code 43531603; dated ADM3 parent 4353,
imada,43531602,4353,العضلة,El Adhla,35.425037,9.41689,ADM4 row / research sector code 43531602; dated ADM3 parent 4353,
imada,43611666,4361,قصر الحمام الغربية,Ksar EL Hammam Ouest,34.913281,9.788055,ADM4 row / research sector code 43611666; dated ADM3 parent 4361,
imada,43611665,4361,بودينار,Boudinar,34.899758,9.706646,ADM4 row / research sector code 43611665; dated ADM3 parent 4361,
imada,43611664,4361,الرضاع الشرقية,Erradhâa Est,34.724983,9.876678,ADM4 row / research sector code 43611664; dated ADM3 parent 4361,
imada,43611663,4361,الرضاع,Erradhâa,34.687151,9.845921,ADM4 row / research sector code 43611663; dated ADM3 parent 4361,
imada,43611662,4361,قولاب,Gouleb,34.746384,9.757833,ADM4 row / research sector code 43611662; dated ADM3 parent 4361,
imada,43519998,4351,سيدي بوزيد الغربية,Sidi Bouzid Ouest,35.037977,9.472642,ADM4 row / research sector code 43519998; dated ADM3 parent 4351,
imada,43611661,4361,قصر الحمام الشرقية,Ksar El Hammam Est,34.866886,9.896144,ADM4 row / research sector code 43611661; dated ADM3 parent 4361,
imada,43519999,4351,سيدي بوزيد الجنوبية,Sidi Bouzid Sud,35.032126,9.480317,ADM4 row / research sector code 43519999; dated ADM3 parent 4351,
imada,43611660,4361,السعيدة الشمالية,Essaïda Nord,34.977308,9.936873,ADM4 row / research sector code 43611660; dated ADM3 parent 4361,
imada,43601657,4360,السد,Essed,34.433315,9.711193,ADM4 row / research sector code 43601657; dated ADM3 parent 4360,
